disease,mae,rmse,pearson_r,observed_total,predicted_total
chikungunya,4738.97070985436,5745.54043614964,0.04092143640113251,250856,4582.898784129227
dengue,29999.70145037004,38668.993326989206,0.14706378097639522,1631977,71992.52458075774
zika,474.79024615223767,548.5172098857713,0.10493224177199166,25723,1095.872690435972
pooled,11737.820802125547,22572.868308035257,0.32405468344602617,1908556,77671.29605532293
