year,disease,signal,pearson_r,spearman_r
2024,chikungunya,google_trends,0.7126065514970243,0.6941845507032605
2024,chikungunya,wikipedia_pageviews,0.7068276971198021,0.7018151055630134
2024,dengue,google_trends,0.9271179695645135,0.8825868086980443
2024,dengue,wikipedia_pageviews,0.5190140441344387,0.629612257870846
2024,zika,google_trends,0.6640709259864412,0.6269308158414477
2024,zika,wikipedia_pageviews,0.6902001109399498,0.6510878314120688
2025,chikungunya,google_trends,0.6687066387284546,0.687056768478263
2025,chikungunya,wikipedia_pageviews,-0.04267701367102492,0.2709996433633214
2025,dengue,google_trends,0.8688032795536375,0.7582596060037131
2025,dengue,wikipedia_pageviews,0.7585021497866369,0.6561009316354409
2025,zika,google_trends,0.1451278510659823,0.1654690944980074
2025,zika,wikipedia_pageviews,0.36358340770860875,0.36465840493710666
