disease,mae,rmse,pearson_r,observed_total,predicted_total
chikungunya,4715.636108022566,5711.507029625905,0.09871589495077075,250856,6183.090363781606
dengue,30759.51773690431,39487.680001094974,-0.007440510697920847,1631977,32482.07768097603
zika,472.61416224907225,545.3721906934398,0.13468039640138296,25723,1246.0653572371211
pooled,11982.589335725315,23037.618621468697,0.14507775310749133,1908556,39911.23340199475
