disease,ascertainment_fraction,same_week_delay_weight,one_week_delay_weight,two_week_delay_weight,three_week_delay_weight,R_log_intercept,R_sin,R_cos
dengue,0.08303094725246266,0.9805309623822334,0.004121636705928252,0.0013026215006917657,0.014044779411146796,0.32028793669107886,-0.12323429206152724,0.1763625631752464
chikungunya,0.006357221943600529,0.6776833051038487,6.683565764998729e-05,0.12301557174758494,0.19923428749091637,0.2203398333050869,-0.13739369045903244,0.04482386934587967
zika,0.0005638790005304325,0.9996631624619213,1.1249726864805923e-07,1.3754093137164535e-06,0.00033534963149681174,0.2697458239560512,-0.15125094542463074,0.08014430080838846
