model,disease,mae,rmse,pearson_r,observed_total,predicted_total
Fixed 2024 attention + season,chikungunya,2138.4132567723805,2659.8982300959,0.9241348795599756,250856,364191.9026089361
Fixed 2024 attention + season,dengue,42838.92657416119,55919.25344878399,0.8554974793617063,1631977,3773206.5107440553
Fixed 2024 attention + season,zika,235.94377051469974,279.25251460069416,0.8916770335359591,25723,38228.019837279084
Fixed 2024 attention + season,pooled,15071.094533816085,32321.90148506488,0.9221047916974893,1908556,4175626.4331902703
Dynamic 52-week attention + season,chikungunya,1110.0246217599624,1636.4795349929452,0.8845151574492199,250856,280613.57795035606
Dynamic 52-week attention + season,dengue,12096.703100361801,15888.866710445891,0.7972041101953521,1631977,1685748.061306126
Dynamic 52-week attention + season,zika,115.70248592877357,169.4114273217926,0.8717215359166975,25723,30921.92778304299
Dynamic 52-week attention + season,pooled,4440.810069350178,9222.487929737716,0.8925423287244757,1908556,1997283.5670395251
