disease,log_R_intercept,R_sin,R_cos,effective_notification_pool
dengue,0.4910142785728915,-0.21501047926659309,0.07586042339649848,11962828.685974173
chikungunya,0.5194810530136997,-0.3095603531858581,0.002651943195229836,687668.1085261753
zika,0.4321202070990274,-0.2506304891218698,0.05361100333069122,78994.98585717582
