disease,random_walk_sd,random_walk_interval_weeks,final_log_R_deviation,ascertainment_fraction,same_week_delay_weight,one_week_delay_weight,two_week_delay_weight,three_week_delay_weight,R_log_intercept,R_sin,R_cos
dengue,0.15,4,-0.08920497328192166,0.047445675273005736,0.8572319569362283,0.02269446607489228,0.03635154244289016,0.08372203454598925,0.5809516347886954,-0.30490395494583966,-0.03198284170033938
chikungunya,0.15,4,-1.9014823104379244,0.015971785989026956,0.9995851663751488,1.1248967064415672e-07,7.93976684551889e-05,0.0003353234667245769,-0.5819059410866017,0.7807891954901834,2.1065380587250204
zika,0.15,4,-0.8766631494272835,0.009877433630833965,0.999656827095585,1.0290829941400255e-06,6.796315202570398e-06,0.00033534750621817187,0.25908598652242687,0.0020683205784252966,0.27028073895798016
