disease,mae,rmse,pearson_r,observed_total,predicted_total
chikungunya,4440.630595555549,5331.434780726778,0.3615244813364584,250856,23695.784926821223
dengue,26158.868700822095,33896.26020846723,0.4166069597718917,1631977,310552.1853885778
zika,448.6064906148979,514.9729703841662,0.3093273556466635,25723,2729.5387419706117
pooled,10349.36859566418,19812.83969299949,0.5721764096039444,1908556,336977.5090573696
