model,version,mae,rmse,pearson_r
Fixed 2024 MLR,Google Trends only,392.4200566141356,438.01286332360934,0.678940541726116
Fixed 2024 MLR,Trends + Wikipedia,404.0776841845243,453.7453715088388,0.7763650515660951
Dynamic 52-week MLR,Google Trends only,225.89826939721087,360.13391608832586,0.7523152915019686
Dynamic 52-week MLR,Trends + Wikipedia,186.3441282105949,285.4935579295825,0.8565006711819951
