model,mae,rmse,pearson_r,predicted_total
Fixed 2024 MLR,404.0776841845243,453.74537150883873,0.776365051566095,43294.82609533863
Dynamic 52-week MLR,186.3441282105949,285.4935579295825,0.8565006711819951,27585.667888033426
