model,mae,rmse,pearson_r,predicted_total
Fixed 2024 MLR,21294.316312000556,31285.633312652666,0.981876420600045,721955.7226968777
Dynamic 52-week MLR,18131.40866248926,28272.10216993353,0.8911007030285488,733816.0156636916
