date,sinan_notified_cases
2023-12-31,45848
2024-01-07,61515
2024-01-14,89814
2024-01-21,127227
2024-01-28,164645
2024-02-04,201447
2024-02-11,249439
2024-02-18,310289
2024-02-25,342519
2024-03-03,364793
2024-03-10,392067
2024-03-17,433513
2024-03-24,375565
2024-03-31,414963
2024-04-07,419145
2024-04-14,383330
2024-04-21,332746
2024-04-28,324279
2024-05-05,323494
2024-05-12,285865
2024-05-19,201167
2024-05-26,127480
2024-06-02,87924
2024-06-09,79647
2024-06-16,64108
2024-06-23,44686
2024-06-30,31732
2024-07-07,21885
2024-07-14,17696
2024-07-21,15348
2024-07-28,13598
2024-08-04,11314
2024-08-11,9908
2024-08-18,9162
2024-08-25,7803
2024-09-01,8189
2024-09-08,8200
2024-09-15,7730
2024-09-22,7442
2024-09-29,7216
2024-10-06,6869
2024-10-13,7316
2024-10-20,7780
2024-10-27,8386
2024-11-03,8905
2024-11-10,9640
2024-11-17,12008
2024-11-24,13111
2024-12-01,15761
2024-12-08,17827
2024-12-15,17066
2024-12-22,10279
2024-12-29,0
